,Name,Tm,mlbID,key_bbref
461,Matt Gage,"Houston,Toronto",657424,gagema01
462,Giovanny Gallegos,St. Louis,606149,gallegi01
463,Zac Gallen,Arizona,668678,galleza01
464,John Gant,"Minnesota,St. Louis",607231,gantjo01
465,Gerson Garabito,Texas,642520,garabge01
466,Bryan Garcia,Detroit,650530,garcibr01
467,Deivi Garc\xc3\xada,"Chicago,New York",665620,garcide01
469,Edgar Garc\xc3\xada,"Cincinnati,Minnesota",658305,garcied01
470,Jarl\xc3\xadn Garc\xc3\xada,San Francisco,606424,garcija04
471,Luis Garc\xc3\xada,"Los Angeles,San Diego,St. Louis",472610,garcilu03
472,Luis Garcia,Houston,677651,garcilu05
473,Rico Garcia,"Baltimore,Oakland,Washington",670329,garciri01
474,Robel Garc\xc3\xada,Houston,596825,garciro02
475,Robert Garcia,"Miami,Washington",676395,garciro04
476,Rony Garc\xc3\xada,Detroit,665621,garciro03
477,Yimi Garc\xc3\xada,"Houston,Miami,Toronto",554340,garciyi01
478,Amir Garrett,"Cincinnati,Kansas City,Los Angeles",607237,garream01
479,Braxton Garrett,Miami,666129,garrebr01
480,Reed Garrett,"Baltimore,New York,Washington",657585,garrere01
481,Justin Garza,"Boston,Cleveland",621057,garzaju01
482,Ralph Garza,"Houston,Minnesota,Tampa Bay",621248,garzara01
483,Robert Gasser,Milwaukee,688107,gassero01
484,Kevin Gausman,"San Francisco,Toronto",592332,gausmke01
485,Domingo Germ\xc3\xa1n,New York,593334,germado01
486,Franklin German,Boston,681464,germafr02
487,Ian Gibaut,"Cincinnati,Cleveland,Minnesota",664139,gibauia01
488,Kyle Gibson,"Baltimore,Philadelphia,St. Louis,Texas",502043,gibsoky01
489,Luis Gil,New York,661563,gillu01
490,Logan Gilbert,Seattle,669302,gilbelo01
491,Tyler Gilbert,Arizona,656457,gilbety01
