,Name,Tm,mlbID,key_bbref
471,Paul Goldschmidt,St. Louis,502671,goldspa01
472,Austin Gomber,Colorado,596295,gombeau01
473,Yan Gomes,"Chicago,Oakland,Washington",543228,gomesya01
474,Tony Gonsolin,Los Angeles,664062,gonsoto01
475,Marco Gonzales,Seattle,594835,gonzama02
476,Nick Gonzales,Pittsburgh,693304,gonzani01
477,Chi Chi Gonz\xc3\xa1lez,Colorado,592346,gonzach01
478,Erik Gonz\xc3\xa1lez,"Miami,Pittsburgh",570481,gonzaer01
479,Luis Gonz\xc3\xa1lez,"Chicago,San Francisco",670768,gonzalu03
480,Marwin Gonz\xc3\xa1lez,"Boston,Houston,New York",503556,gonzama01
481,Oscar Gonz\xc3\xa1lez,Cleveland,660757,gonzaos01
482,Romy Gonzalez,"Boston,Chicago",663853,gonzaro01
483,Hunter Goodman,Colorado,696100,goodmhu01
484,Niko Goodrum,"Detroit,Houston,Los Angeles,Tampa Bay",592348,goodrni01
485,Brian Goodwin,Chicago,571718,goodwbr01
486,Nick Gordon,"Miami,Minnesota",624503,gordoni01
487,Terrance Gore,New York,605253,gorete01
488,Nolan Gorman,St. Louis,669357,gormano01
489,Phil Gosselin,"Atlanta,Los Angeles",594838,gosseph01
490,Ashton Goudeau,Colorado,623485,goudeas01
491,Yasmani Grandal,"Chicago,Pittsburgh",518735,grandya01
492,Brusdar Graterol,Los Angeles,660813,gratebr01
493,Kendall Graveman,Houston,608665,graveke01
495,Jon Gray,Colorado,592351,grayjo02
496,Josiah Gray,"Los Angeles,Washington",680686,grayjo03
497,Sonny Gray,Cincinnati,543243,grayso01
498,Tristan Gray,"Miami,Tampa Bay",656484,graytr01
499,Riley Greene,Detroit,682985,greenri03
500,Didi Gregorius,Philadelphia,544369,gregodi01
501,Grayson Greiner,"Arizona,Detroit",606988,greingr01
502,Zack Greinke,Houston,425844,greinza01
